YYYY,DOY,HR,MN,SYMH
2018,213,0,0,4
2018,213,0,1,4
2018,213,0,2,4
2018,213,0,3,3
2018,213,0,4,3
2018,213,0,5,3
2018,213,0,6,3
2018,213,0,7,2
2018,213,0,8,2
2018,213,0,9,2
2018,213,0,10,1
2018,213,0,11,1
2018,213,0,12,1
2018,213,0,13,0
2018,213,0,14,0
2018,213,0,15,0
2018,213,0,16,1
2018,213,0,17,0
2018,213,0,18,1
2018,213,0,19,1
2018,213,0,20,2
2018,213,0,21,2
2018,213,0,22,2
2018,213,0,23,3
2018,213,0,24,2
2018,213,0,25,2
2018,213,0,26,2
2018,213,0,27,2
2018,213,0,28,2
2018,213,0,29,1
2018,213,0,30,3
2018,213,0,31,3
2018,213,0,32,3
2018,213,0,33,3
2018,213,0,34,2
2018,213,0,35,1
2018,213,0,36,0
2018,213,0,37,0
2018,213,0,38,0
2018,213,0,39,0
2018,213,0,40,-1
2018,213,0,41,-2
2018,213,0,42,-2
2018,213,0,43,-2
2018,213,0,44,-2
2018,213,0,45,-2
2018,213,0,46,-2
2018,213,0,47,-2
2018,213,0,48,-2
2018,213,0,49,-2
2018,213,0,50,-1
2018,213,0,51,-1
2018,213,0,52,-1
2018,213,0,53,-1
2018,213,0,54,-2
2018,213,0,55,-2
2018,213,0,56,-2
2018,213,0,57,-2
2018,213,0,58,0
2018,213,0,59,0
2018,213,1,0,0
2018,213,1,1,0
2018,213,1,2,0
2018,213,1,3,0
2018,213,1,4,0
2018,213,1,5,1
2018,213,1,6,1
2018,213,1,7,1
2018,213,1,8,1
2018,213,1,9,1
2018,213,1,10,1
2018,213,1,11,1
2018,213,1,12,1
2018,213,1,13,1
2018,213,1,14,2
2018,213,1,15,2
2018,213,1,16,1
2018,213,1,17,1
2018,213,1,18,1
2018,213,1,19,1
2018,213,1,20,1
2018,213,1,21,1
2018,213,1,22,1
2018,213,1,23,1
2018,213,1,24,1
2018,213,1,25,1
2018,213,1,26,1
2018,213,1,27,1
2018,213,1,28,1
2018,213,1,29,1
2018,213,1,30,1
2018,213,1,31,1
2018,213,1,32,1
2018,213,1,33,2
2018,213,1,34,2
2018,213,1,35,2
2018,213,1,36,2
2018,213,1,37,2
2018,213,1,38,2
2018,213,1,39,3
2018,213,1,40,3
2018,213,1,41,3
2018,213,1,42,3
2018,213,1,43,3
2018,213,1,44,4
2018,213,1,45,4
2018,213,1,46,4
2018,213,1,47,4
2018,213,1,48,4
2018,213,1,49,4
2018,213,1,50,4
2018,213,1,51,4
2018,213,1,52,4
2018,213,1,53,4
2018,213,1,54,3
2018,213,1,55,4
2018,213,1,56,4
2018,213,1,57,4
2018,213,1,58,4
2018,213,1,59,4
2018,213,2,0,4
2018,213,2,1,4
2018,213,2,2,4
2018,213,2,3,4
2018,213,2,4,4
2018,213,2,5,4
2018,213,2,6,4
2018,213,2,7,4
2018,213,2,8,4
2018,213,2,9,4
2018,213,2,10,4
2018,213,2,11,4
2018,213,2,12,4
2018,213,2,13,4
2018,213,2,14,4
2018,213,2,15,5
2018,213,2,16,5
2018,213,2,17,5
2018,213,2,18,5
2018,213,2,19,5
2018,213,2,20,5
2018,213,2,21,5
2018,213,2,22,4
2018,213,2,23,4
2018,213,2,24,4
2018,213,2,25,3
2018,213,2,26,3
2018,213,2,27,3
2018,213,2,28,3
2018,213,2,29,3
2018,213,2,30,3
2018,213,2,31,3
2018,213,2,32,3
2018,213,2,33,3
2018,213,2,34,3
2018,213,2,35,3
2018,213,2,36,3
2018,213,2,37,3
2018,213,2,38,3
2018,213,2,39,3
2018,213,2,40,3
2018,213,2,41,3
2018,213,2,42,3
2018,213,2,43,3
2018,213,2,44,3
2018,213,2,45,3
2018,213,2,46,2
2018,213,2,47,2
2018,213,2,48,2
2018,213,2,49,2
2018,213,2,50,2
2018,213,2,51,2
2018,213,2,52,2
2018,213,2,53,2
2018,213,2,54,2
2018,213,2,55,2
2018,213,2,56,2
2018,213,2,57,2
2018,213,2,58,3
2018,213,2,59,3
2018,213,3,0,3
2018,213,3,1,3
2018,213,3,2,4
2018,213,3,3,4
2018,213,3,4,4
2018,213,3,5,4
2018,213,3,6,4
2018,213,3,7,4
2018,213,3,8,4
2018,213,3,9,4
2018,213,3,10,4
2018,213,3,11,4
2018,213,3,12,4
2018,213,3,13,4
2018,213,3,14,4
2018,213,3,15,4
2018,213,3,16,4
2018,213,3,17,4
2018,213,3,18,4
2018,213,3,19,5
2018,213,3,20,5
2018,213,3,21,5
2018,213,3,22,5
2018,213,3,23,5
2018,213,3,24,6
2018,213,3,25,6
2018,213,3,26,6
2018,213,3,27,6
2018,213,3,28,6
2018,213,3,29,5
2018,213,3,30,5
2018,213,3,31,5
2018,213,3,32,5
2018,213,3,33,5
2018,213,3,34,6
2018,213,3,35,6
2018,213,3,36,7
2018,213,3,37,7
2018,213,3,38,7
2018,213,3,39,7
2018,213,3,40,8
2018,213,3,41,8
2018,213,3,42,8
2018,213,3,43,8
2018,213,3,44,8
2018,213,3,45,8
2018,213,3,46,8
2018,213,3,47,8
2018,213,3,48,8
2018,213,3,49,8
2018,213,3,50,8
2018,213,3,51,8
2018,213,3,52,8
2018,213,3,53,8
2018,213,3,54,8
2018,213,3,55,8
2018,213,3,56,8
2018,213,3,57,8
2018,213,3,58,8
2018,213,3,59,8
2018,213,4,0,8
2018,213,4,1,8
2018,213,4,2,8
2018,213,4,3,8
2018,213,4,4,9
2018,213,4,5,9
2018,213,4,6,9
2018,213,4,7,9
2018,213,4,8,9
2018,213,4,9,9
2018,213,4,10,9
2018,213,4,11,9
2018,213,4,12,9
2018,213,4,13,8
2018,213,4,14,8
2018,213,4,15,8
2018,213,4,16,8
2018,213,4,17,7
2018,213,4,18,7
2018,213,4,19,7
2018,213,4,20,7
2018,213,4,21,7
2018,213,4,22,7
2018,213,4,23,7
2018,213,4,24,7
2018,213,4,25,7
2018,213,4,26,7
2018,213,4,27,7
2018,213,4,28,8
2018,213,4,29,8
2018,213,4,30,8
2018,213,4,31,8
2018,213,4,32,8
2018,213,4,33,8
2018,213,4,34,7
2018,213,4,35,7
2018,213,4,36,7
2018,213,4,37,6
2018,213,4,38,6
2018,213,4,39,6
2018,213,4,40,6
2018,213,4,41,7
2018,213,4,42,6
2018,213,4,43,7
2018,213,4,44,7
2018,213,4,45,7
2018,213,4,46,7
2018,213,4,47,6
2018,213,4,48,6
2018,213,4,49,6
2018,213,4,50,6
2018,213,4,51,6
2018,213,4,52,6
2018,213,4,53,7
2018,213,4,54,7
2018,213,4,55,7
2018,213,4,56,7
2018,213,4,57,7
2018,213,4,58,6
2018,213,4,59,6
2018,213,5,0,6
2018,213,5,1,6
2018,213,5,2,6
2018,213,5,3,6
2018,213,5,4,6
2018,213,5,5,5
2018,213,5,6,5
2018,213,5,7,5
2018,213,5,8,5
2018,213,5,9,5
2018,213,5,10,5
2018,213,5,11,5
2018,213,5,12,5
2018,213,5,13,5
2018,213,5,14,5
2018,213,5,15,5
2018,213,5,16,5
2018,213,5,17,5
2018,213,5,18,5
2018,213,5,19,5
2018,213,5,20,5
2018,213,5,21,5
2018,213,5,22,5
2018,213,5,23,5
2018,213,5,24,5
2018,213,5,25,5
2018,213,5,26,5
2018,213,5,27,5
2018,213,5,28,5
2018,213,5,29,5
2018,213,5,30,5
2018,213,5,31,5
2018,213,5,32,4
2018,213,5,33,4
2018,213,5,34,5
2018,213,5,35,4
2018,213,5,36,4
2018,213,5,37,5
2018,213,5,38,5
2018,213,5,39,5
2018,213,5,40,5
2018,213,5,41,5
2018,213,5,42,5
2018,213,5,43,5
2018,213,5,44,5
2018,213,5,45,5
2018,213,5,46,5
2018,213,5,47,5
2018,213,5,48,5
2018,213,5,49,5
2018,213,5,50,4
2018,213,5,51,4
2018,213,5,52,4
2018,213,5,53,4
2018,213,5,54,5
2018,213,5,55,5
2018,213,5,56,5
2018,213,5,57,5
2018,213,5,58,5
2018,213,5,59,5
2018,213,6,0,5
2018,213,6,1,5
2018,213,6,2,5
2018,213,6,3,5
2018,213,6,4,5
2018,213,6,5,4
2018,213,6,6,4
2018,213,6,7,4
2018,213,6,8,4
2018,213,6,9,5
2018,213,6,10,5
2018,213,6,11,5
2018,213,6,12,4
2018,213,6,13,4
2018,213,6,14,4
2018,213,6,15,4
2018,213,6,16,5
2018,213,6,17,5
2018,213,6,18,5
2018,213,6,19,5
2018,213,6,20,5
2018,213,6,21,5
2018,213,6,22,5
2018,213,6,23,5
2018,213,6,24,5
2018,213,6,25,6
2018,213,6,26,6
2018,213,6,27,6
2018,213,6,28,5
2018,213,6,29,5
2018,213,6,30,6
2018,213,6,31,5
2018,213,6,32,6
2018,213,6,33,6
2018,213,6,34,6
2018,213,6,35,5
2018,213,6,36,5
2018,213,6,37,5
2018,213,6,38,5
2018,213,6,39,5
2018,213,6,40,5
2018,213,6,41,5
2018,213,6,42,5
2018,213,6,43,5
2018,213,6,44,5
2018,213,6,45,5
2018,213,6,46,5
2018,213,6,47,5
2018,213,6,48,5
2018,213,6,49,5
2018,213,6,50,5
2018,213,6,51,5
2018,213,6,52,6
2018,213,6,53,6
2018,213,6,54,5
2018,213,6,55,6
2018,213,6,56,6
2018,213,6,57,6
2018,213,6,58,6
2018,213,6,59,6
2018,213,7,0,6
2018,213,7,1,6
2018,213,7,2,6
2018,213,7,3,6
2018,213,7,4,6
2018,213,7,5,6
2018,213,7,6,6
2018,213,7,7,6
2018,213,7,8,6
2018,213,7,9,6
2018,213,7,10,6
2018,213,7,11,6
2018,213,7,12,6
2018,213,7,13,6
2018,213,7,14,6
2018,213,7,15,5
2018,213,7,16,5
2018,213,7,17,5
2018,213,7,18,5
2018,213,7,19,5
2018,213,7,20,4
2018,213,7,21,4
2018,213,7,22,4
2018,213,7,23,4
2018,213,7,24,4
2018,213,7,25,4
2018,213,7,26,4
2018,213,7,27,4
2018,213,7,28,4
2018,213,7,29,4
2018,213,7,30,4
2018,213,7,31,4
2018,213,7,32,4
2018,213,7,33,4
2018,213,7,34,5
2018,213,7,35,5
2018,213,7,36,5
2018,213,7,37,5
2018,213,7,38,5
2018,213,7,39,5
2018,213,7,40,5
2018,213,7,41,5
2018,213,7,42,5
2018,213,7,43,6
2018,213,7,44,6
2018,213,7,45,6
2018,213,7,46,6
2018,213,7,47,6
2018,213,7,48,6
2018,213,7,49,6
2018,213,7,50,6
2018,213,7,51,6
2018,213,7,52,6
2018,213,7,53,6
2018,213,7,54,5
2018,213,7,55,5
2018,213,7,56,5
2018,213,7,57,5
2018,213,7,58,5
2018,213,7,59,5
2018,213,8,0,5
2018,213,8,1,6
2018,213,8,2,5
2018,213,8,3,5
2018,213,8,4,5
2018,213,8,5,5
2018,213,8,6,5
2018,213,8,7,5
2018,213,8,8,5
2018,213,8,9,5
2018,213,8,10,5
2018,213,8,11,5
2018,213,8,12,5
2018,213,8,13,5
2018,213,8,14,5
2018,213,8,15,5
2018,213,8,16,5
2018,213,8,17,5
2018,213,8,18,5
2018,213,8,19,5
2018,213,8,20,5
2018,213,8,21,5
2018,213,8,22,5
2018,213,8,23,4
2018,213,8,24,5
2018,213,8,25,4
2018,213,8,26,5
2018,213,8,27,5
2018,213,8,28,5
2018,213,8,29,5
2018,213,8,30,5
2018,213,8,31,5
2018,213,8,32,5
2018,213,8,33,6
2018,213,8,34,6
2018,213,8,35,6
2018,213,8,36,6
2018,213,8,37,6
2018,213,8,38,7
2018,213,8,39,7
2018,213,8,40,7
2018,213,8,41,7
2018,213,8,42,7
2018,213,8,43,7
2018,213,8,44,7
2018,213,8,45,6
2018,213,8,46,6
2018,213,8,47,6
2018,213,8,48,7
2018,213,8,49,7
2018,213,8,50,7
2018,213,8,51,7
2018,213,8,52,7
2018,213,8,53,7
2018,213,8,54,7
2018,213,8,55,7
2018,213,8,56,7
2018,213,8,57,7
2018,213,8,58,7
2018,213,8,59,7
2018,213,9,0,7
2018,213,9,1,6
2018,213,9,2,6
2018,213,9,3,6
2018,213,9,4,6
2018,213,9,5,5
2018,213,9,6,5
2018,213,9,7,5
2018,213,9,8,5
2018,213,9,9,5
2018,213,9,10,4
2018,213,9,11,4
2018,213,9,12,4
2018,213,9,13,4
2018,213,9,14,4
2018,213,9,15,4
2018,213,9,16,5
2018,213,9,17,5
2018,213,9,18,5
2018,213,9,19,5
2018,213,9,20,5
2018,213,9,21,6
2018,213,9,22,6
2018,213,9,23,6
2018,213,9,24,6
2018,213,9,25,6
2018,213,9,26,6
