,GQQ,LDA,serie
0,0.7943335486076942,0.9957119761232319,[0.84308636 0.28957556 2.45460847 ... 7.14648347 0.84308636 2.45460847]
1,0.8043559403350785,0.995799635182875,"[3.53646301e-03 1.04990293e-02 3.53646301e-03 ... 2.42130386e+00
 2.42130386e+00 7.18835180e+00]"
2,0.795540949192433,0.9976879315175211,[0.09862087 0.03379541 0.28779283 ... 0.28779283 0.8398295  0.28779283]
3,0.8103752525063515,0.9903345406938838,[0.08842869 0.26573324 0.26573324 ... 0.26573324 2.3996686  0.79854349]
4,0.5704189190689617,0.9467294232985071,[1.25505362 2.67099434 0.58972779 ... 1.25505362 0.58972779 0.2771028 ]
5,0.6871995334690622,0.9774704700835087,[0.07305708 0.02975589 0.02975589 ... 2.65472628 1.08126063 2.65472628]
6,0.7703932034554606,0.9934983333524074,[0.90467113 0.32452955 0.90467113 ... 2.52189627 2.52189627 0.90467113]
7,0.8703998128159468,0.9990757252228993,[0.00413419 0.00118947 0.00413419 ... 0.01436908 0.01436908 0.00413419]
8,0.7845346440536847,0.9957893040447491,[0.03719598 0.10633234 0.30397281 ... 0.10633234 0.86896866 0.30397281]
9,0.8929423371027205,0.9996920486336279,[0.51542592 0.13794414 0.51542592 ... 0.13794414 0.13794414 0.51542592]
10,0.7021143096164257,0.9866232729142492,[0.06688809 0.16765678 0.02668557 ... 0.42023616 2.64020725 1.05333307]
11,0.6583857294323503,0.9703044709703115,[2.67363117 6.31915863 2.67363117 ... 2.67363117 1.1312113  0.47861463]
12,0.7078651949216413,0.9804513026028189,[0.02555294 0.06457505 0.16318816 ... 0.16318816 1.04216482 0.41239418]
13,0.8739105105360191,0.9994903110840877,[0.01362559 0.00387971 0.01362559 ... 0.01362559 0.04785327 0.01362559]
14,0.8696542569455694,0.998506346756867,[0.05038843 0.17475322 0.17475322 ... 0.05038843 0.6060655  0.17475322]
15,0.7964550450698575,0.9978504232006837,[0.03351905 0.01146619 0.03351905 ... 0.83735371 0.2864419  0.83735371]
16,0.7073162747734443,0.987551288296543,[0.02565984 0.06479426 0.01016181 ... 0.16361352 0.41314438 1.04324068]
17,0.8282060934501144,0.9953025849078516,[0.02450682 0.07650533 0.23883417 ... 2.32758741 7.26625718 2.32758741]
18,0.5755952183198174,0.9605784022552941,[5.72242249 2.67328559 2.67328559 ... 0.27254717 1.24885149 0.58341318]
19,0.7554083542959016,0.9866221962131556,[0.34603106 0.94051158 0.12731103 ... 2.55630814 0.94051158 0.34603106]
20,0.6512374555223689,0.9825564983797814,[0.20834048 0.48795286 0.20834048 ... 0.20834048 0.20834048 0.48795286]
21,0.7510989074321501,0.9964586329824046,[0.13048202 0.35216172 0.35216172 ... 0.35216172 0.13048202 0.04834585]
22,0.8362999302979522,0.9981999866605562,[0.22648731 0.72025503 0.07121991 ... 0.22648731 0.22648731 0.72025503]
23,0.6275109251840496,0.969121654160695,[0.51854843 1.17932773 1.17932773 ... 0.04408124 0.01938245 0.04408124]
24,0.7768624282431987,0.9917683038827066,[0.03964585 0.11177968 0.01406153 ... 2.50529169 0.88857309 0.31515777]
25,0.9059528816902247,0.9994741648687682,[0.00049406 0.00193908 0.00761055 ... 0.46012322 0.11723433 0.46012322]
26,0.6738874637072543,0.9727540189173294,[1.10497287 2.66488233 0.45816846 ... 0.18997601 0.18997601 0.45816846]
27,0.8576392418881147,0.997847318329208,[0.19353996 0.64913857 0.64913857 ... 0.0172043  0.0172043  0.00512944]
28,0.7394777640024273,0.9919283091847622,[0.97652334 0.36857781 0.13911557 ... 0.36857781 0.05250762 0.13911557]
29,0.8845880315092117,0.9992348664631647,[0.15119929 0.54910432 0.04163367 ... 0.01146409 0.04163367 0.15119929]
30,0.8315754094403267,0.9980318239671288,"[2.36185258e-02 7.50836692e-03 2.38692179e-03 ... 2.28821368e+01
 7.27426768e+00 2.31250127e+00]"
31,0.701330635463787,0.9773847481830895,[0.42130177 1.05483744 2.64105709 ... 0.06720611 0.0268421  0.01072073]
32,0.885981630866384,0.9994079877837123,[0.00306799 0.00084091 0.00306799 ... 0.01119326 0.00306799 0.00084091]
33,0.6823221277509461,0.9828923718137359,[0.44692965 1.09007848 0.18324012 ... 0.03080232 0.18324012 0.07512802]
34,0.8515061971481285,0.99874424188903,"[5.18359625e-04 1.71093082e-03 1.71093082e-03 ... 2.03066172e-01
 2.03066172e-01 6.70253152e-01]"
